38.55042047,-121.3914158
38.47350069,-121.4901858
38.65784584,-121.4621009
38.50677377,-121.4269508
38.6374478,-121.3846125
38.52697863,-121.4513383
38.537173,-121.4875774
38.56433456,-121.4618826
38.6374478,-121.3846125
38.60960217,-121.4918375
38.55426406,-121.4546045
38.52816497,-121.4314528
38.51092155,-121.5488201
38.55611545,-121.4142729
38.50398051,-121.3923987
38.54152896,-121.4495097
38.51657327,-121.4234749
38.58184562,-121.5011657
38.54270763,-121.4572067
38.52459987,-121.5203609
38.44659211,-121.4423777
38.59664183,-121.423349
38.51512387,-121.5291027
38.65660112,-121.4560449
38.44281523,-121.4095243
38.5438039,-121.4332827
38.47121906,-121.4547389
38.5564521,-121.5123309
38.49535335,-121.4965602
38.64717373,-121.4375169
38.47889498,-121.5354477
38.63734742,-121.444642
38.57289613,-121.4767958
38.51436734,-121.3854286
38.47948616,-121.5215057
38.65994218,-121.5259008
38.60893745,-121.5187927
38.57084621,-121.484429
38.57815667,-121.4876958
38.64378844,-121.5341593
38.62798948,-121.4857344
38.61153542,-121.5370613
38.57999251,-121.4930384
38.59540732,-121.4978798
38.51526387,-121.4296507
38.65737252,-121.4577585
38.52799185,-121.434789
38.56796664,-121.4852542
38.50009398,-121.4776262
38.54138742,-121.4282497
38.49609085,-121.4740915
38.52973955,-121.5195294
38.46637324,-121.4265274
38.51538948,-121.5255605
38.57905906,-121.4661967
38.63036289,-121.4755269
38.50632179,-121.4333041
38.47400047,-121.4581933
38.57724403,-121.5051437
38.57419952,-121.470553
38.57881567,-121.4970836
38.55456463,-121.4106138
38.52199211,-121.4309007
38.62453557,-121.5264198
38.62504428,-121.4978986
38.56984785,-121.4737052
38.46518116,-121.4461653
38.4497213,-121.4258719
38.47143667,-121.427615
38.61972226,-121.4152799
38.49570962,-121.477826
38.62070956,-121.4226958
38.61488957,-121.4934272
38.58239328,-121.5059336
38.53116122,-121.4661214
38.60641085,-121.4473501
38.57682477,-121.4882896
38.63207451,-121.5287747
38.60108154,-121.456171
38.47489873,-121.4996944
38.67510292,-121.5226753
38.46594742,-121.4513773
38.51055016,-121.409083
38.570664,-121.465448
38.6432324,-121.4563115
38.67318557,-121.5035491
38.66695301,-121.5088707
38.45025842,-121.443044
38.52337984,-121.4378491
38.56159185,-121.4923822
38.56438552,-121.4516767
38.49603233,-121.4619674
38.52967087,-121.4469794
38.47425283,-121.4368769
38.57941421,-121.4864344
38.47425283,-121.4368769
38.49714012,-121.5136898
38.57201606,-121.4692575
38.61859754,-121.4382569
38.57348427,-121.4678719
38.61197962,-121.4578062
38.62099831,-121.5104473
38.51755951,-121.4142712
38.63465784,-121.4392401
38.65509277,-121.4477394
